TradeID,UTI,UPI,ActionType,EventDate,ExecutionTimestamp,ProductType,AssetClass,Counterparty1LEI,Counterparty2LEI,NotionalAmount,Currency,MaturityDate,ClearingObligation,Cleared,ReportingTimestamp
TRD-R001-PASS,5493001KJTIIGC8Y1R12481338,IRSFIXFLT001,NEWT,2026-02-03,2026-02-03T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-03,Y,Y,2026-02-03T09:30:00Z
TRD-R001-FAIL,bad!uti,IRSFIXFLT001,NEWT,2026-02-04,2026-02-04T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-04,Y,Y,2026-02-04T09:30:00Z
TRD-R002-PASS,5493001KJTIIGC8Y1R12481340,IRSFIXFLT001,NEWT,2026-02-05,2026-02-05T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-05,Y,Y,2026-02-05T09:30:00Z
TRD-R002-FAIL,5493001KJTIIGC8Y1R12481341,short1,NEWT,2026-02-06,2026-02-06T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-06,Y,Y,2026-02-06T09:30:00Z
TRD-R003-PASS,5493001KJTIIGC8Y1R12481342,IRSFIXFLT001,NEWT,2026-02-09,2026-02-09T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-10,Y,Y,2026-02-09T09:30:00Z
TRD-R003-FAIL,5493001KJTIIGC8Y1R12481343,IRSFIXFLT001,NEWT,2026-02-09,2026-02-09T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R99,213800D1EI4B9WTWWD28,1000000,USD,2031-02-10,Y,Y,2026-02-09T09:30:00Z
TRD-R004-PASS,5493001KJTIIGC8Y1R12481344,IRSFIXFLT001,NEWT,2026-02-09,2026-02-09T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,USD,2031-02-10,Y,Y,2026-02-09T09:30:00Z
TRD-R004-FAIL,5493001KJTIIGC8Y1R12481345,IRSFIXFLT001,NEWT,2026-02-10,2026-02-10T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,INVALIDLEI0000000001,1000000,USD,2031-02-10,Y,Y,2026-02-10T09:30:00Z
TRD-R005-PASS,5493001KJTIIGC8Y1R12481346,IRSFIXFLT001,NEWT,2026-02-11,2026-02-11T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1250000.50,USD,2031-02-11,Y,Y,2026-02-11T09:30:00Z
TRD-R005-FAIL,5493001KJTIIGC8Y1R12481347,IRSFIXFLT001,NEWT,2026-02-12,2026-02-12T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,-500000,USD,2031-02-12,Y,Y,2026-02-12T09:30:00Z
TRD-R006-PASS,5493001KJTIIGC8Y1R12481348,IRSFIXFLT001,NEWT,2026-02-13,2026-02-13T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,EUR,2031-02-13,Y,Y,2026-02-13T09:30:00Z
TRD-R006-FAIL,5493001KJTIIGC8Y1R12481349,IRSFIXFLT001,NEWT,2026-02-16,2026-02-16T09:00:00Z,Swap,IR,5493001KJTIIGC8Y1R12,213800D1EI4B9WTWWD28,1000000,US,2031-02-17,Y,Y,2026-02-16T09:30:00Z
