TradeID,UTI,UPI,ActionType,EventDate,ExecutionTimestamp,ProductType,AssetClass,Counterparty1LEI,Counterparty2LEI,NotionalAmount,Currency,MaturityDate,ClearingObligation,Cleared,ReportingTimestamp
VAR2-R001-PASS,724500ABCDEFGH12481002,IRSFIXFLT002,NEWT,2026-10-06,2026-10-06T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2522500,USD,2031-10-05,Y,Y,2026-10-06T09:30:00Z
VAR2-R001-FAIL,bad#uti!,IRSFIXFLT002,NEWT,2026-10-07,2026-10-07T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2522500,USD,2031-10-06,Y,Y,2026-10-07T09:30:00Z
VAR2-R002-PASS,724500ABCDEFGH12481006,IRSOISUSD001,NEWT,2026-10-08,2026-10-08T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2545000,USD,2031-10-07,Y,Y,2026-10-08T09:30:00Z
VAR2-R002-FAIL,short1,IRSOISUSD001,NEWT,2026-10-09,2026-10-09T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2545000,USD,2031-10-08,Y,Y,2026-10-09T09:30:00Z
VAR2-R003-PASS,724500ABCDEFGH12481010,IRSFIXFLT002,NEWT,2026-10-12,2026-10-12T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2567500,USD,2031-10-11,Y,Y,2026-10-12T09:30:00Z
VAR2-R003-FAIL,724500ABCDEFGH12481012,IRSFIXFLT002,NEWT,2026-10-13,2026-10-13T09:00:00Z,Swap,IR,969500UNKNOWNLEI0234,894500ZZTOPCOUNTER01,2567500,USD,2031-10-12,Y,Y,2026-10-13T09:30:00Z
VAR2-R004-PASS,724500ABCDEFGH12481014,IRSFIXFLT002,NEWT,2026-10-14,2026-10-14T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2590000,USD,2031-10-13,Y,Y,2026-10-14T09:30:00Z
VAR2-R004-FAIL,724500ABCDEFGH12481016,IRSFIXFLT002,NEWT,2026-10-15,2026-10-15T09:00:00Z,Swap,IR,724500ABCDEFGH123474,INVALIDLEI0000000099,2590000,USD,2031-10-14,Y,Y,2026-10-15T09:30:00Z
VAR2-R005-PASS,724500ABCDEFGH12481018,IRSFIXFLT001,NEWT,2026-10-16,2026-10-16T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2612500,USD,2031-10-15,Y,Y,2026-10-16T09:30:00Z
VAR2-R005-FAIL,724500ABCDEFGH12481020,IRSFIXFLT001,NEWT,2026-10-19,2026-10-19T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,-2612500,USD,2031-10-18,Y,Y,2026-10-19T09:30:00Z
VAR2-R006-PASS,724500ABCDEFGH12481022,IRSOISUSD001,NEWT,2026-10-20,2026-10-20T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2635000,USD,2031-10-19,Y,Y,2026-10-20T09:30:00Z
VAR2-R006-FAIL,724500ABCDEFGH12481024,IRSOISUSD001,NEWT,2026-10-21,2026-10-21T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2635000,US,2031-10-20,Y,Y,2026-10-21T09:30:00Z
VAR2-R007-PASS,724500ABCDEFGH12481026,IRSFIXFLT002,NEWT,2026-10-22,2026-10-22T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2657500,USD,2031-10-21,Y,Y,2026-10-22T09:30:00Z
VAR2-R007-FAIL,724500ABCDEFGH12481028,IRSFIXFLT002,NEWT,2026-10-23,2026-10-23T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2657500,USD,2031/10/22,Y,Y,2026-10-23T09:30:00Z
VAR2-R008-PASS,724500ABCDEFGH12481030,IRSFIXFLT001,NEWT,2026-10-26,2026-10-26T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2680000,USD,2031-10-25,Y,Y,2026-10-26T09:30:00Z
VAR2-R008-FAIL,724500ABCDEFGH12481032,IRSFIXFLT001,NEWT,2026-10-27,2026-10-27T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2680000,USD,2023-10-28,Y,Y,2026-10-27T09:30:00Z
VAR2-R009-PASS,724500ABCDEFGH12481034,IRSFIXFLT002,NEWT,2026-10-28,2026-10-28T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2702500,USD,2031-10-27,Y,Y,2026-10-28T09:30:00Z
VAR2-R009-FAIL,724500ABCDEFGH12481036,IRSFIXFLT002,NEWT,2026-10-29,2026-10-29T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2702500,USD,2031-10-28,Y,Y,29-10-2026 09:30
VAR2-R010-PASS,724500ABCDEFGH12481038,IRSFIXFLT002,NEWT,2026-10-30,2026-10-30T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2725000,USD,2031-10-29,Y,Y,2026-10-30T09:30:00Z
VAR2-R010-FAIL,724500ABCDEFGH12481040,,NEWT,2026-11-02,2026-11-02T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2725000,USD,2031-11-01,Y,Y,2026-11-02T09:30:00Z
VAR2-R011-PASS,724500ABCDEFGH12481042,IRSFIXFLT002,NEWT,2026-11-03,2026-11-03T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2747500,USD,2031-11-02,Y,Y,2026-11-03T09:30:00Z
VAR2-R011-FAIL,724500ABCDEFGH12481044,IRSFIXFLT002,NEWT,2026-11-04,2026-11-04T09:00:00Z,Swap,IR,724500ABCDEFGH123474,,2747500,USD,2031-11-03,Y,Y,2026-11-04T09:30:00Z
VAR2-R012-PASS,724500ABCDEFGH12481046,IRSFIXFLT001,NEWT,2026-11-05,2026-11-05T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2770000,USD,2031-11-04,Y,Y,2026-11-05T09:30:00Z
VAR2-R012-FAIL,724500ABCDEFGH12481048,IRSFIXFLT001,NEWT,2026-11-06,2026-11-06T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,,USD,2031-11-05,Y,Y,2026-11-06T09:30:00Z
VAR2-R013-PASS,724500ABCDEFGH12481050,IRSOISUSD001,NEWT,2026-11-09,2026-11-09T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2792500,USD,2031-11-08,Y,Y,2026-11-09T09:30:00Z
VAR2-R013-FAIL,724500ABCDEFGH12481052,IRSOISUSD001,NEWT,2026-11-10,2026-11-10T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2792500,,2031-11-09,Y,Y,2026-11-10T09:30:00Z
VAR2-R014-PASS,724500ABCDEFGH12481054,IRSFIXFLT002,NEWT,2026-11-11,2026-11-11T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2815000,USD,2031-11-10,Y,Y,2026-11-11T09:30:00Z
VAR2-R014-FAIL,724500ABCDEFGH12481056,IRSFIXFLT002,ZZ,2026-11-12,2026-11-12T09:00:00Z,Swap,IR,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2815000,USD,2031-11-11,Y,Y,2026-11-12T09:30:00Z
VAR2-R015-PASS,724500ABCDEFGH12481058,EQUITYOPT001,NEWT,2026-11-13,2026-11-13T09:00:00Z,Swap,EQ,724500ABCDEFGH123474,894500ZZTOPCOUNTER01,2837500,USD,2031-11-12,Y,Y,2026-11-13T09:30:00Z
